mask_rate,alpaca_ASR,alpaca_ASR_std,utility_acc_avg,arc_challenge.acc,arc_challenge.acc_stderr,arc_challenge.acc_norm,arc_challenge.acc_norm_stderr,hellaswag.acc,hellaswag.acc_stderr,hellaswag.acc_norm,hellaswag.acc_norm_stderr,boolq.acc,boolq.acc_stderr,winogrande.acc,winogrande.acc_stderr,rte.acc,rte.acc_stderr,openbookqa.acc,openbookqa.acc_stderr,openbookqa.acc_norm,openbookqa.acc_norm_stderr
0,0.32153848,0.025783578,0.598333333333333,0.435,0.0351432817371441,0.46,0.0353304572009782,0.58,0.0349874349304872,0.775,0.0296016263304406,0.83,0.0266279031493404,0.675,0.0332022127978448,0.72,0.0318286871647758,0.35,0.0338114785302567,0.465,0.0353571156648942
0.1,0.3496154,0.060793567,0.596666666666667,0.435,0.0351432817371441,0.45,0.0352663946692148,0.58,0.0349874349304872,0.77,0.0298320255554952,0.83,0.0266279031493404,0.67,0.0333324958018734,0.715,0.0319999214823158,0.35,0.0338114785302567,0.47,0.0353802034190004
0.2,0.41076922,0.04177285,0.600833333333333,0.435,0.0351432817371441,0.45,0.0352663946692148,0.585,0.0349281387189735,0.77,0.0298320255554952,0.83,0.0266279031493404,0.68,0.0330676176445086,0.72,0.0318286871647758,0.355,0.0339209100807085,0.465,0.0353571156648942
0.3,0.33269233,0.06367679,0.594166666666667,0.43,0.0350949895491833,0.455,0.0353002199375329,0.575,0.0350430460345114,0.77,0.0298320255554952,0.835,0.0263122914892847,0.67,0.0333324958018734,0.705,0.0323280142061427,0.35,0.0338114785302567,0.455,0.0353002199375329
0.4,0.2919231,0.11355863,0.603333333333333,0.445,0.0352289710609046,0.455,0.0353002199375329,0.575,0.0350430460345114,0.77,0.0298320255554952,0.84,0.0259880142454577,0.685,0.0329286574644649,0.725,0.0316525579078619,0.35,0.0338114785302567,0.465,0.0353571156648942
0.5,0.35384616,0.08125313,0.599166666666667,0.435,0.0351432817371441,0.46,0.0353304572009782,0.58,0.0349874349304872,0.765,0.0300564794977555,0.835,0.0263122914892847,0.685,0.0329286574644649,0.71,0.0321663390337503,0.35,0.0338114785302567,0.47,0.0353802034190004
0.6,0.3573077,0.068537116,0.598333333333333,0.43,0.0350949895491833,0.445,0.0352289710609046,0.57,0.0350949895491833,0.775,0.0296016263304406,0.835,0.0263122914892847,0.68,0.0330676176445086,0.725,0.0316525579078619,0.35,0.0338114785302567,0.47,0.0353802034190004
0.7,0.3023077,0.06920299,0.598333333333333,0.435,0.0351432817371441,0.455,0.0353002199375329,0.57,0.0350949895491833,0.775,0.0296016263304406,0.83,0.0266279031493404,0.675,0.0332022127978448,0.735,0.0312852815908872,0.345,0.0336979637933674,0.465,0.0353571156648942
0.8,0.2930769,0.09588887,0.599166666666667,0.44,0.0351879376317208,0.45,0.0352663946692148,0.57,0.0350949895491833,0.765,0.0300564794977555,0.83,0.0266279031493404,0.685,0.0329286574644649,0.725,0.0316525579078619,0.345,0.0336979637933674,0.46,0.0353304572009782
0.9,0.315,0.070725314,0.606666666666667,0.435,0.0351432817371441,0.46,0.0353304572009782,0.565,0.0351432817371441,0.76,0.030275120389073,0.835,0.0263122914892847,0.71,0.0321663390337503,0.74,0.0310939571437003,0.355,0.0339209100807085,0.46,0.0353304572009782
0.911,0.28884614,0.10883596,0.603333333333333,0.685,0.0329286574644649,0.43,0.0350949895491833,0.455,0.0353002199375329,0.355,0.0339209100807085,0.465,0.0353571156648942,0.755,0.0304880732921142,0.82,0.0272343265514969,0.575,0.0350430460345114,0.775,0.0296016263304406
0.922,0.32538462,0.1020094,0.6,0.705,0.0323280142061427,0.435,0.0351432817371441,0.47,0.0353802034190004,0.355,0.0339209100807085,0.46,0.0353304572009782,0.685,0.0329286574644649,0.845,0.0256547428197152,0.575,0.0350430460345113,0.765,0.0300564794977555
0.933,0.37692308,0.07673052,0.590833333333333,0.675,0.0332022127978448,0.415,0.0349281387189735,0.445,0.0352289710609046,0.335,0.0334585170294358,0.46,0.0353304572009782,0.735,0.0312852815908872,0.83,0.0266279031493404,0.555,0.0352289710609046,0.77,0.0298320255554952
0.944,0.25615385,0.059651352,0.595833333333333,0.68,0.0330676176445086,0.435,0.0351432817371441,0.445,0.0352289710609046,0.325,0.0332022127978448,0.465,0.0353571156648942,0.735,0.0312852815908872,0.82,0.0272343265514969,0.58,0.0349874349304872,0.765,0.0300564794977555
0.956,0.25192308,0.12140085,0.594166666666667,0.685,0.0329286574644649,0.445,0.0352289710609046,0.47,0.0353802034190005,0.335,0.0334585170294358,0.455,0.0353002199375329,0.72,0.0318286871647758,0.825,0.0269351538433107,0.555,0.0352289710609046,0.75,0.0306954565901272
0.967,0.25307694,0.053413097,0.598333333333333,0.675,0.0332022127978448,0.465,0.0353571156648942,0.47,0.0353802034190004,0.35,0.0338114785302567,0.46,0.0353304572009782,0.725,0.0316525579078619,0.815,0.0275256846705566,0.56,0.0351879376317207,0.77,0.0298320255554952
0.978,0.2753846,0.08827238,0.583333333333333,0.7,0.0324850178068221,0.43,0.0350949895491833,0.465,0.0353571156648942,0.325,0.0332022127978448,0.42,0.0349874349304872,0.71,0.0321663390337503,0.79,0.0288733153916994,0.545,0.0353002199375329,0.75,0.0306954565901272
0.989,0.30384618,0.14341564,0.5625,0.72,0.0318286871647758,0.425,0.0350430460345114,0.44,0.0351879376317208,0.315,0.0329286574644649,0.435,0.0351432817371441,0.63,0.0342250899767933,0.745,0.0308973824329186,0.54,0.0353304572009782,0.745,0.0308973824329186
1,0.052307688,0.0069230767,0.59,0.66,0.0335803244617257,0.435,0.0351432817371441,0.45,0.0352663946692148,0.33,0.0333324958018734,0.47,0.0353802034190004,0.73,0.0314714515284334,0.82,0.0272343265514969,0.565,0.0351432817371441,0.755,0.0304880732921142
